"Speaker Name","Title","Date of Speech Delivered","URL to Speech"
"David Cameron","Prime Minister David Cameron's speech to the World Economic Forum in Davos","24 January 2013","https://www.gov.uk/government/speeches/prime-minister-david-camerons-speech-to-the-world-economic-forum-in-davos"
"David Cameron","Supporting small businesses: David Cameron’s speech to the Federation of Small Businesses","27 January 2014","https://www.gov.uk/government/speeches/supporting-small-businesses-david-camerons-qa-at-the-federation-of-small-businesses"
"David Cameron","David Cameron speaks at Munich memorial event","6 August 2012","https://www.gov.uk/government/speeches/david-cameron-speaks-at-munich-memorial-event"
"David Cameron","Diwali 2014: David Cameron's reception speech","20 October 2014","https://www.gov.uk/government/speeches/diwali-2014-david-camerons-reception-speech"
"David Cameron","Iran nuclear programme: PM interview with NBC News 'Meet The Press'","19 July 2015","https://www.gov.uk/government/speeches/iran-nuclear-programme-pm-interview-with-nbc-news-meet-the-press"
"David Cameron","David Cameron statement to the House on European Council and Nuclear Security Summit","26 March 2014","https://www.gov.uk/government/speeches/david-cameron-statement-to-the-house-on-european-council-and-nuclear-security-summit"
"David Cameron","UK-France Summit: David Cameron and Francois Hollande press conference","31 January 2014","https://www.gov.uk/government/speeches/uk-france-summit-david-cameron-and-francois-hollande-press-conference"
"David Cameron","Iran nuclear programme: PM interview with NBC News 'Meet The Press'","19 July 2015","https://www.gov.uk/government/speeches/iran-nuclear-programme-pm-interview-with-nbc-news-meet-the-press"
"David Cameron","Press conference by David Cameron and Barack Obama","15 March 2012","https://www.gov.uk/government/speeches/press-conference-by-david-cameron-and-barack-obama"
"David Cameron","Jobs and growth in Europe: article by David Cameron and Mariano Rajoy","4 September 2015","https://www.gov.uk/government/speeches/jobs-and-growth-in-europe-article-by-david-cameron-and-mariano-rajoy"
"David Cameron","Securing a better deal for Britain in Europe: article by David Cameron","6 January 2016","https://www.gov.uk/government/speeches/securing-a-better-deal-for-britain-in-europe-article-by-david-cameron"
"David Cameron","Transcript of speech given by the Prime Minister, David Cameron and the Afghan Minister of Mines, Wahidullah Shahrani","7 March 2013","https://www.gov.uk/government/speeches/transcript-of-speech-given-by-the-prime-minister-david-cameron-and-the-afghan-minister-of-mines-wahidullah-shahrani"
"David Cameron","David Cameron and Li Keqiang press conference: June 2014","17 June 2014","https://www.gov.uk/government/speeches/david-cameron-and-li-keqiang-press-conference-june-2014"
"David Cameron","David Cameron and George Osborne speech & Q&A at Skanska","22 April 2014","https://www.gov.uk/government/speeches/speech-by-david-cameron-and-george-osborne-at-skanska"
"David Cameron","David Cameron's 2014 Eid al-Adha reception speech","8 October 2014","https://www.gov.uk/government/speeches/david-camerons-2014-eid-al-adha-reception-speech"
"David Cameron","David Cameron welcomes Turkish Prime Minister, Recep Tayyip Erdogan","30 July 2012","https://www.gov.uk/government/speeches/david-cameron-welcomes-turkish-prime-minister-recep-tayyip-erdogan"
"David Cameron","PM press conference with Enda Kenny: June 2015","18 June 2015","https://www.gov.uk/government/speeches/pm-press-conference-with-enda-kenny-june-2015"
"David Cameron","PM statement at press conference with President Obama: 22 April 2016","22 April 2016","https://www.gov.uk/government/speeches/pm-statement-at-press-conference-with-president-obama-22-april-2016"
"David Cameron","PM statement at press conference with Japanese Prime Minister Abe: 5 May 2016","5 May 2016","https://www.gov.uk/government/speeches/pm-statement-at-press-conference-with-japanese-prime-minister-abe-5-may-2016"
"David Cameron","Extremism: PM speech","20 July 2015","https://www.gov.uk/government/speeches/extremism-pm-speech"
"David Cameron","Watch out, universities; I'm bringing the fight for equality in Britain to you: article by David Cameron","31 January 2016","https://www.gov.uk/government/speeches/watch-out-universities-im-bringing-the-fight-for-equality-in-britain-to-you-article-by-david-cameron"
"David Cameron","G7 2015: PM press conference","8 June 2015","https://www.gov.uk/government/speeches/g7-2015-pm-press-conference"
"David Cameron","Brexit would put our economy in serious danger: article by David Cameron and George Osborne (Archived)","23 May 2016","https://www.gov.uk/government/speeches/brexit-would-put-our-economy-in-serious-danger-article-by-david-cameron-and-george-osborne"
"David Cameron","David Cameron's speech outside 10 Downing Street as Prime Minister","12 May 2010","https://www.gov.uk/government/speeches/david-camerons-speech-outside-10-downing-street-as-prime-minister"
"David Cameron","Apprenticeship speech delivered by Prime Minister David Cameron in Milton Keynes","12 March 2013","https://www.gov.uk/government/speeches/apprenticeship-speech-delivered-by-prime-minister-david-cameron-in-milton-keynes"
