"David Cameron","Dual use biology: how to balance open science with security","15 September 2013","https://www.gov.uk/government/speeches/dual-use-biology-how-to-balance-open-science-with-security"
"David Cameron","UK engagement with Central Asia","23 February 2012","https://www.gov.uk/government/speeches/uk-engagement-with-central-asia"
"David Cameron","2011/03/31 - Natural Partners, Necessary Partners, UK-France Defence Co-operation","31 March 2011","https://www.gov.uk/government/speeches/2011-03-31-natural-partners-necessary-partners-uk-france-defence-co-operation--2"
"David Cameron","Culture Secretary statement on the BBC Charter Review","16 July 2015","https://www.gov.uk/government/speeches/culture-secretary-statement-on-the-bbc-charter-review"
"David Cameron","Nick Gibb at the Jewish Schools Awards","27 January 2016","https://www.gov.uk/government/speeches/nick-gibb-at-the-jewish-schools-awards"
"David Cameron","Theresa May's speech on the Prevent review and the appointment of a new independent reviewer of terrorism legislation","9 November 2010","https://www.gov.uk/government/speeches/theresa-mays-speech-on-the-prevent-review-and-the-appointment-of-a-new-independent-reviewer-of-terrorism-legislation"
"David Cameron","Making healthcare more human-centred and not system-centred","16 July 2015","https://www.gov.uk/government/speeches/making-healthcare-more-human-centred-and-not-system-centred"
"David Cameron","Speech by the Secretary of State for Wales to the Society of Local Council Clerks","18 September 2013","https://www.gov.uk/government/speeches/speech-by-the-secretary-of-state-for-wales-to-the-society-of-local-council-clerks"
"David Cameron","Home Secretary's Police Federation Conference 2016 speech","17 May 2016","https://www.gov.uk/government/speeches/home-secretarys-police-federation-2016-speech"
"David Cameron","Nicky Morgan speaks about the inspirational impact of Teach First","29 July 2015","https://www.gov.uk/government/speeches/nicky-morgan-speaks-about-the-inspirational-impact-of-teach-first"
"David Cameron","Nicky Morgan speaks about the inspirational impact of Teach First","29 July 2015","https://www.gov.uk/government/speeches/nicky-morgan-speaks-about-the-inspirational-impact-of-teach-first"
"David Cameron","Co-operation Ireland dinner","25 November 2010","https://www.gov.uk/government/speeches/co-operation-ireland-dinner"
"David Cameron","UK-China Energy Dialogue","18 June 2014","https://www.gov.uk/government/speeches/uk-china-energy-dialogue"
"David Cameron","FCO Minister Hugo Swire’s speech at the annual Falklands Government reception","11 June 2014","https://www.gov.uk/government/speeches/fco-minister-hugo-swires-speech-at-the-annual-falklands-government-reception"
"David Cameron","Jeremy Hunt: message to NHS staff on strengthening patient safety","27 June 2014","https://www.gov.uk/government/speeches/jeremy-hunt-message-to-nhs-staff-on-strengthening-patient-safety"
"David Cameron","UK-China Energy Dialogue","18 June 2014","https://www.gov.uk/government/speeches/uk-china-energy-dialogue"
"David Cameron","The Philip Hardman Memorial Lecture given to the Institute of Chartered Accountants in England & Wales by the Exchequer Secretary to the Treasury, David Gauke MP, in the City of London","16 November 2010","https://www.gov.uk/government/speeches/the-philip-hardman-memorial-lecture-given-to-the-institute-of-chartered-accountants-in-england-wales-by-the-exchequer-secretary-to-the-treasury-dav"
"David Cameron","EU Directive on Passenger Name Records","10 May 2011","https://www.gov.uk/government/speeches/eu-directive-on-passenger-name-records"
"David Cameron","Anglo-Omani Society","14 October 2010","https://www.gov.uk/government/speeches/2010-10-14-anglo-omani-society"
"David Cameron","Joint UK/Portuguese project strengthens Turkish prison service reform","30 April 2013","https://www.gov.uk/government/speeches/joint-ukportuguese-project-strengthens-turkish-prison-service-reform"
"David Cameron","Speech on reforming Defra for the Institute for Government","1 February 2016","https://www.gov.uk/government/speeches/speech-for-the-institute-for-government"
"David Cameron","EU Directive on Passenger Name Records","10 May 2011","https://www.gov.uk/government/speeches/eu-directive-on-passenger-name-records"
"David Cameron","Speech by the Secretary of State for Northern Ireland to the Alliance Party conference","2 March 2013","https://www.gov.uk/government/speeches/speech-by-the-secretary-of-state-for-northern-ireland-to-the-alliance-party-conference"
"David Cameron","The New Competition and Markets Authority: Aspirations and Challenges","24 April 2013","https://www.gov.uk/government/speeches/the-new-competition-and-markets-authority-aspirations-and-challenges"
"David Cameron","New Parliament conference: Chris Grayling speech","30 June 2015","https://www.gov.uk/government/speeches/new-parliament-conference-chris-grayling-speech"
"David Cameron","The new UK Competition and Markets Authority – what does it offer to Scotland?","3 June 2013","https://www.gov.uk/government/speeches/the-new-uk-competition-and-markets-authority-what-does-it-offer-to-scotland"
"David Cameron","Speech on reforming Defra for the Institute for Government","1 February 2016","https://www.gov.uk/government/speeches/speech-for-the-institute-for-government"
"David Cameron","Jon Rouse talks about the Care Bill","10 May 2013","https://www.gov.uk/government/speeches/jon-rouse-talks-about-the-care-bill"
"David Cameron","Response to the review of the resilience of England's transport systems in winter","22 October 2010","https://www.gov.uk/government/speeches/response-to-the-review-of-the-resilience-of-englands-transport-systems-in-winter"
"David Cameron","Speech by the Secretary of State for Northern Ireland to the Alliance Party conference","2 March 2013","https://www.gov.uk/government/speeches/speech-by-the-secretary-of-state-for-northern-ireland-to-the-alliance-party-conference"
"David Cameron","The new UK Competition and Markets Authority – what does it offer to Scotland?","3 June 2013","https://www.gov.uk/government/speeches/the-new-uk-competition-and-markets-authority-what-does-it-offer-to-scotland"
"David Cameron","Response to the review of the resilience of England's transport systems in winter","22 October 2010","https://www.gov.uk/government/speeches/response-to-the-review-of-the-resilience-of-englands-transport-systems-in-winter"
"David Cameron","Speech by the Chancellor of the Exchequer, Rt Hon George Osborne MP, at the opening of Imperial Centre for Translational and Experimental Medicine","28 May 2012","https://www.gov.uk/government/speeches/speech-by-the-chancellor-of-the-exchequer-rt-hon-george-osborne-mp-at-the-opening-of-imperial-centre-for-translational-and-experimental-medicine"
"David Cameron","HS2: building and backing British business","16 June 2014","https://www.gov.uk/government/speeches/hs2-building-and-backing-british-business"
"David Cameron","Owen Paterson's speech to the Scotch Whisky Association","12 May 2014","https://www.gov.uk/government/speeches/owen-patersons-speech-to-the-scotch-whisky-association"
"David Cameron","Nick Clegg's speech from Prime Minister and Deputy Prime Minister press conference, December 2010","21 December 2010","https://www.gov.uk/government/speeches/nick-cleggs-speech-from-prime-minister-and-deputy-prime-minister-press-conference-december-2010"
"David Cameron","HS2: building and backing British business","16 June 2014","https://www.gov.uk/government/speeches/hs2-building-and-backing-british-business"
"David Cameron","Owen Paterson's speech to the Scotch Whisky Association","12 May 2014","https://www.gov.uk/government/speeches/owen-patersons-speech-to-the-scotch-whisky-association"
"David Cameron","Speech on reforming Defra for the Institute for Government","1 February 2016","https://www.gov.uk/government/speeches/speech-for-the-institute-for-government"
"David Cameron","Lord Hill on the studio schools movement","18 October 2012","https://www.gov.uk/government/speeches/lord-hill-on-the-studio-schools-movement"
"David Cameron","HS2: building and backing British business","16 June 2014","https://www.gov.uk/government/speeches/hs2-building-and-backing-british-business"
"David Cameron","Owen Paterson's speech to the Scotch Whisky Association","12 May 2014","https://www.gov.uk/government/speeches/owen-patersons-speech-to-the-scotch-whisky-association"
"David Cameron","Greg Clark's speech to the LGA conference 2016","5 July 2016","https://www.gov.uk/government/speeches/greg-clarks-speech-to-the-lga-conference-2016"
"David Cameron","“Sierra Leone has undergone a remarkable transformation”","26 March 2014","https://www.gov.uk/government/speeches/sierra-leone-has-undergone-a-remarkable-transformation"
"David Cameron","HS2: building and backing British business","16 June 2014","https://www.gov.uk/government/speeches/hs2-building-and-backing-british-business"
"David Cameron","Owen Paterson's speech to the Scotch Whisky Association","12 May 2014","https://www.gov.uk/government/speeches/owen-patersons-speech-to-the-scotch-whisky-association"
"David Cameron","Owen Paterson speech at the National Farmers Union Annual Conference 2013","27 February 2013","https://www.gov.uk/government/speeches/owen-paterson-speech-at-the-national-farmers-union-annual-conference-2013"
"David Cameron","Cutting Corporation Tax is crucial to shaping economy","20 April 2011","https://www.gov.uk/government/speeches/cutting-corporation-tax-is-crucial-to-shaping-economy"
"David Cameron","Joining up transport","13 January 2015","https://www.gov.uk/government/speeches/joining-up-transport"
"David Cameron","Lord Hill on the studio schools movement","18 October 2012","https://www.gov.uk/government/speeches/lord-hill-on-the-studio-schools-movement"
"David Cameron","Owen Paterson speech at the National Farmers Union Annual Conference 2013","27 February 2013","https://www.gov.uk/government/speeches/owen-paterson-speech-at-the-national-farmers-union-annual-conference-2013"
"David Cameron","Cutting Corporation Tax is crucial to shaping economy","20 April 2011","https://www.gov.uk/government/speeches/cutting-corporation-tax-is-crucial-to-shaping-economy"
"David Cameron","Stephen Blake explains the benefit of specialist cartel enforcement authorities","2 December 2014","https://www.gov.uk/government/speeches/stephen-blake-explains-the-benefit-of-specialist-cartel-enforcement-authorities"
"David Cameron","Charles Hendry speech to the Nuclear Institute North West Branch Annual Dinner","10 May 2012","https://www.gov.uk/government/speeches/charles-hendry-speech-to-the-nuclear-institute-north-west-branch-annual-dinner"
