"Speaker Name","Title","Date of Speech Delivered","URL to Speech"
"Theresa May","PM’s speech at the UK-France Summit: 18 January 2018","18 January 2018","https://www.gov.uk/government/speeches/pms-speech-at-the-uk-france-summit-18-january-2018"
"Theresa May","PM and Taoiseach Enda Kenny statements: 26 July 2016","26 July 2016","https://www.gov.uk/government/speeches/pm-statement-following-talks-with-taoiseach-enda-kenny-26-july-2016"
"Theresa May","PM India Day speech: 16 July 2019","16 July 2019","https://www.gov.uk/government/speeches/pm-india-day-speech-16-july-2019"
"Theresa May","PM speech at Northwood: 8 July 2019","8 July 2019","https://www.gov.uk/government/speeches/pm-speech-at-northwood-8-july-2019"
"Theresa May","PM Nordic Council speech: 30 October 2018","30 October 2018","https://www.gov.uk/government/speeches/pm-nordic-council-speech-30-october-2018"
"Theresa May","PM statement to the House of Commons: 26 February 2019","26 February 2019","https://www.gov.uk/government/speeches/pm-statement-to-the-house-of-commons-26-february-2019"
"Theresa May","PM: We can deliver the change you voted for","8 March 2019","https://www.gov.uk/government/speeches/pm-we-can-deliver-the-change-you-voted-for"
"Theresa May","PM’s statement on Brexit: 14 November 2018","14 November 2018","https://www.gov.uk/government/speeches/pms-statement-on-brexit-14-november-2018"
"Theresa May","PM’s words on Brexit negotiations: 6 April 2019","6 April 2019","https://www.gov.uk/government/speeches/pms-words-on-brexit-negotiations-6-april-2019"
"Theresa May","PM statement at the EU Council: 21 March 2019","21 March 2019","https://www.gov.uk/government/speeches/pm-statement-at-the-eu-council-21-march-2019"
"Theresa May","PM's statement on exiting the European Union: 10 December 2018","10 December 2018","https://www.gov.uk/government/speeches/pms-statement-on-exiting-the-european-union-10-december-2018"
"Theresa May","PM statement to the House of Commons: 29 January 2019","29 January 2019","https://www.gov.uk/government/speeches/pm-statement-to-the-house-of-commons-29-january-2019"
"Theresa May","PM statement at the European Council: 11 April 2019","11 April 2019","https://www.gov.uk/government/speeches/pm-statement-at-the-european-council-11-april-2019"
"Theresa May","PM and Prime Minister Beata Szydło statements: 28 November 2016","11 November 2016","https://www.gov.uk/government/speeches/pm-and-prime-minister-beata-szydlo-statements-28-november-2016"
"Theresa May","PM press conference with New Zealand Prime Minister Bill English: 13 January 2017","13 January 2017","https://www.gov.uk/government/speeches/pm-press-conference-with-new-zealand-prime-minister-bill-english-13-january-2017"
"Theresa May","PM speech on the state of politics","17 July 2019","https://www.gov.uk/government/speeches/pm-speech-on-the-state-of-politics"
"Theresa May","PM speech in Belfast: 5 February 2019","5 February 2019","https://www.gov.uk/government/speeches/pm-speech-in-belfast-5-february-2019"
"Theresa May","PM Nordic Council speech: 30 October 2018","30 October 2018","https://www.gov.uk/government/speeches/pm-nordic-council-speech-30-october-2018"
"Theresa May","PM G20 press statement: 1 December 2018","1 December 2018","https://www.gov.uk/government/speeches/pm-g20-press-statement-1-december-2018"
"Theresa May","PM’s statement on Brexit: 14 November 2018","14 November 2018","https://www.gov.uk/government/speeches/pms-statement-on-brexit-14-november-2018"
"Theresa May","PM speech on science and modern Industrial Strategy: 21 May 2018","21 May 2018","https://www.gov.uk/government/speeches/pm-speech-on-science-and-modern-industrial-strategy-21-may-2018"
"Theresa May","PM statement in Downing Street: 22 November 2018","22 November 2018","https://www.gov.uk/government/speeches/pm-statement-in-downing-street-22-november-2018"
"Theresa May","PM statement in the House of Commons: 12 March 2019","12 March 2019","https://www.gov.uk/government/speeches/pm-statement-in-the-house-of-commons-12-march-2019"
"Theresa May","PM's speech on new Brexit deal: 21 May 2019","21 May 2019","https://www.gov.uk/government/speeches/pms-speech-on-new-brexit-deal-21-may-2019"
"Theresa May","PM Belfast speech: 20 July 2018","20 July 2018","https://www.gov.uk/government/speeches/pm-belfast-speech-20-july-2018"
"Theresa May","PM statement on Syria: 16 April 2018","16 April 2018","https://www.gov.uk/government/speeches/pm-statement-on-syria-16-april-2018"
"Theresa May","PM statement in Sweden: 9 April 2018","9 April 2018","https://www.gov.uk/government/speeches/pm-statement-in-sweden-9-april-2018"
"Theresa May","PM’s speech to business leaders: 1 July 2019","1 July 2019","https://www.gov.uk/government/speeches/pms-speech-to-business-leaders-1-july-2019"
"Theresa May","PM statement on Brexit: 20 March 2019","20 March 2019","https://www.gov.uk/government/speeches/pm-statement-on-brexit-20-march-2019"
"Theresa May","PM statement on Brexit: 2 April 2019","2 April 2019","https://www.gov.uk/government/speeches/pm-statement-on-brexit-2-april-2019"
"Theresa May","PM’s welcoming statement at Burns Supper: 21 January 2019","21 January 2019","https://www.gov.uk/government/speeches/pms-welcoming-statement-at-burns-supper-21-january-2019"
"Theresa May","PM's speech on housing: 26 June 2019","26 June 2019","https://www.gov.uk/government/speeches/pms-speech-on-housing-26-june-2019"
"Theresa May","PM speech to CBI: 19 November 2018","19 November 2018","https://www.gov.uk/government/speeches/pm-speech-to-cbi-19-november-2018"
"Theresa May","PM speech on the Union: 4 July 2019","4 July 2019","https://www.gov.uk/government/speeches/pm-speech-on-the-union-4-july-2019"
"Theresa May","PM statement on Brexit: 15 October 2018","15 October 2018","https://www.gov.uk/government/speeches/pm-statement-on-brexit-15-october-2018"
"Theresa May","PM speech opening London Tech Week: 10 June 2019","10 August 2019","https://www.gov.uk/government/speeches/pm-speech-opening-london-tech-week-10-june-2019"
"Theresa May","PM Written Statement: ISC Detainee Reports","28 June 2018","https://www.gov.uk/government/speeches/pm-written-statement-isc-detainee-reports"
"Theresa May","PM's International Women’s Day Speech: 8 March 2018","8 March 2018","https://www.gov.uk/government/speeches/pms-international-womens-day-speech-8-march-2018"
"Theresa May","PM remarks to business roundtable: 4 June 2019","4 June 2019","https://www.gov.uk/government/speeches/pm-remarks-to-business-roundtable-4-june-2019"
"Theresa May","PM statement in Denmark: 9 April 2018","9 April 2018","https://www.gov.uk/government/speeches/pm-statement-in-denmark-9-april-2018"
"Theresa May","PM statement on European Council: 24 June 2019","24 June 2019","https://www.gov.uk/government/speeches/pm-statement-on-european-council-24-june-2019"
"Theresa May","PM speech at Vaisakhi reception: 8 May 2019","8 May 2019","https://www.gov.uk/government/speeches/pm-speech-at-vaisakhi-reception-8-may-2019"
"Theresa May","PM speech at V&A reception: 18 January 2018","18 January 2018","https://www.gov.uk/government/speeches/pm-speech-at-va-reception-18-january-2018"
"Theresa May","PM statement on EU negotiations: 22 November 2018","22 November 2018","https://www.gov.uk/government/speeches/pm-statement-on-eu-negotiations-22-november-2018"
"Theresa May","PM's Brexit speech in Stoke-on-Trent: 14 January 2019","14 January 2019","https://www.gov.uk/government/speeches/pms-brexit-speech-in-stoke-on-trent-14-january-2019"
"Theresa May","PM's International Women’s Day Speech: 8 March 2018","8 March 2018","https://www.gov.uk/government/speeches/pms-international-womens-day-speech-8-march-2018"
"Theresa May","PM's statement at Downing Street: 16 January 2019","16 January 2016","https://www.gov.uk/government/speeches/pms-statement-at-downing-street-16-january-2019"
"Theresa May","PM's statement to the House of Commons on Brexit: 12 February 2019","12 February 2019","https://www.gov.uk/government/speeches/pms-statement-to-the-house-of-commons-on-brexit-12-february-2019"
"Theresa May","PM statement on European Council: 24 June 2019","24 June 2019","https://www.gov.uk/government/speeches/pm-statement-on-european-council-24-june-2019"
"Theresa May","PM speech at V&A reception: 18 January 2018","18 January 2018","https://www.gov.uk/government/speeches/pm-speech-at-va-reception-18-january-2018"
"Theresa May","PM G20 House of Commons statement: 3 December 2018","3 December 2018","https://www.gov.uk/government/speeches/pm-g20-house-of-commons-statement-3-december-2018"
"Theresa May","PM statement in the House of Commons: 14 January 2018","14 January 2019","https://www.gov.uk/government/speeches/pm-statement-in-the-house-of-commons-14-january-2018"
"Theresa May","PM's International Women’s Day Speech: 8 March 2018","8 March 2018","https://www.gov.uk/government/speeches/pms-international-womens-day-speech-8-march-2018"
"Theresa May","PM Commons statement on June European Council: 2 July 2018","2 July 2018","https://www.gov.uk/government/speeches/pm-commons-statement-on-june-european-council-2-july-2018"
"Theresa May","Statement made by the Prime Minister: 15 November 2018","15 November 2018","https://www.gov.uk/government/speeches/statement-made-by-the-prime-minister-15-november-2018"
"Theresa May","PM statement on new Brexit deal: 22 May 2019","22 May 2019","https://www.gov.uk/government/speeches/pm-statement-on-new-brexit-deal-22-may-2019"
"Theresa May","PM speech at Augar Review launch: 30 May 2019","30 May 2019","https://www.gov.uk/government/speeches/pm-speech-at-augar-review-launch-30-may-2019"
"Theresa May","PM statement at G7 summit: 9 June 2018","9 June 2018","https://www.gov.uk/government/speeches/pm-statement-at-g7-summit-9-june-2018"
"Theresa May","PM's speech at the Pride reception: 3 July 2018","3 July 2018","https://www.gov.uk/government/speeches/pms-speech-at-the-pride-reception-3-july-2018"
"Theresa May","PM speech to the Lord Mayor’s Banquet: 12 November 2018","12 November 2018","https://www.gov.uk/government/speeches/pm-speech-to-the-lord-mayors-banquet-12-november-2018"
"Theresa May","PM statement on Brexit negotiations: 15 November 2018","15 November 2018","https://www.gov.uk/government/speeches/pm-statement-on-brexit-negotiations-15-november-2018"
"Theresa May","PM Commons statement on June European Council: 2 July 2018","2 July 2018","https://www.gov.uk/government/speeches/pm-commons-statement-on-june-european-council-2-july-2018"
"Theresa May","PM statement to the House of Commons: 15 January 2019","15 January 2019","https://www.gov.uk/government/speeches/pm-statement-to-the-house-of-commons-15-january-2019"
"Theresa May","PM speech at the Jordan: Growth and Opportunity conference","28 February 2019","https://www.gov.uk/government/speeches/pm-speech-at-the-jordan-growth-and-opportunity-conference"
"Theresa May","PM speech on making housing fairer: 5 March","5 March 2018","https://www.gov.uk/government/speeches/pm-speech-on-making-housing-fairer-5-march"
"Theresa May","PM speaks at the Commonwealth Business Forum: 16 April 2018","16 April 2018","https://www.gov.uk/government/speeches/pm-speaks-at-the-commonwealth-business-forum-16-april-2018"
"Theresa May","Prime Minister’s press statement in Nairobi: 30 August 2018","30 August 2018","https://www.gov.uk/government/speeches/prime-ministers-press-statement-in-nairobi-30-august-2018"
"Theresa May","PM speech at antisemitism reception: 26 November 2018","26 November 2018","https://www.gov.uk/government/speeches/pm-speech-at-antisemitism-reception-26-november-2018"
"Theresa May","PM speech to the National Housing Federation summit: 19 September 2018","19 September 2018","https://www.gov.uk/government/speeches/pm-speech-to-the-national-housing-federation-summit-19-september-2018"
"Theresa May","PM statement in the House of Commons: 13 March 2019","13 March 2019","https://www.gov.uk/government/speeches/pm-statement-in-the-house-of-commons-13-march-2019"
"Theresa May","A letter from the Prime Minister to UK nationals living in Europe","19 December 2017","https://www.gov.uk/government/speeches/a-letter-from-the-prime-minister-to-uk-nationals-living-in-europe"
"Theresa May","Prime Minister’s statement at the UK-Poland IGC: 20 December 2018","20 December 2018","https://www.gov.uk/government/speeches/prime-ministers-statement-at-the-uk-poland-igc-20-december-2018"
"Theresa May","PM speech at the Defence and National Rehabilitation Centre: 21 June 2018","21 June 2018","https://www.gov.uk/government/speeches/pm-speech-at-the-defence-and-national-rehabilitation-centre-21-june-2018"
"Theresa May","PM speech at Munich Security Conference: 17 February 2018","17 February 2018","https://www.gov.uk/government/speeches/pm-speech-at-munich-security-conference-17-february-2018"
"Theresa May","PM statement to the House: 16 January 2019","16 January 2019","https://www.gov.uk/government/speeches/pm-statement-to-the-house-16-january-2019"
"Theresa May","PM speech to the National Housing Federation summit: 19 September 2018","19 September 2018","https://www.gov.uk/government/speeches/pm-speech-to-the-national-housing-federation-summit-19-september-2018"
"Theresa May","PM’s speech at the Zero Emission Vehicle Summit: 11 September 2018","11 September 2018","https://www.gov.uk/government/speeches/pms-speech-at-the-zero-emission-vehicle-summit-11-september-2018"
"Theresa May","Prime Minister’s statement at the UK-Poland IGC: 20 December 2018","20 December 2018","https://www.gov.uk/government/speeches/prime-ministers-statement-at-the-uk-poland-igc-20-december-2018"
"Theresa May","PM statement on G7 summit: 11 June 2018","11 June 2018","https://www.gov.uk/government/speeches/pm-statement-on-g7-summit-11-june-2018"
"Theresa May","PM statement on European Council: 17 December 2018","17 December 2018","https://www.gov.uk/government/speeches/pm-statement-on-european-council-17-december-2018"
"Theresa May","PM speech at MS Society Reception: 5 November 2018","5 November 2018","https://www.gov.uk/government/speeches/pm-speech-at-ms-society-reception-5-november-2018"
"Theresa May","PM words at Chequers press conference: 13 July 2018","13 July 2018","https://www.gov.uk/government/speeches/pm-words-at-chequers-press-conference-13-july-2018"
"Theresa May","PM Commons statement on Salisbury incident: 12 March 2018","12 March 2018","https://www.gov.uk/government/speeches/pm-commons-statement-on-salisbury-incident-12-march-2018"
"Theresa May","PM's speech at Farnborough International Airshow: 16 July 2018","16 July 2018","https://www.gov.uk/government/speeches/pms-speech-at-farnborough-international-airshow-16-july-2018"
"Theresa May","PM Commons Statement on Salisbury incident response: 14 March 2018","14 March 2018","https://www.gov.uk/government/speeches/pm-commons-statement-on-salisbury-incident-response-14-march-2018"
"Theresa May","PM's speech at Diabetes Charities Reception: 24 June 2019","24 June 2019","https://www.gov.uk/government/speeches/pms-speech-at-diabetes-charities-reception-24-june-2019"
"Theresa May","Prime Minister's 2018 Christmas Message to the Armed Forces","23 December 2018","https://www.gov.uk/government/speeches/prime-ministers-2018-christmas-message-to-the-armed-forces"
"Theresa May","PM speech at reception for Women MPs of the World conference: 7 November 2018","7 November 2018","https://www.gov.uk/government/speeches/pm-speech-at-reception-for-women-mps-of-the-world-conference-7-november-2018"
"Theresa May","PM speech in Beijing: 1 February 2018","1 February 2018","https://www.gov.uk/government/speeches/pm-speech-in-beijing-1-february-2018"
"Theresa May","PM's statement on European Council: 22 October 2018","22 October 2018","https://www.gov.uk/government/speeches/pms-statement-on-european-council-22-october-2018"
"Theresa May","PM speech to the UN General Assembly: 26 September 2018","26 September 2018","https://www.gov.uk/government/speeches/pm-speech-to-the-un-general-assembly-26-september-2018"
"Theresa May","PM statement following Queen's Speech: 21 June 2017","21 June 2017","https://www.gov.uk/government/speeches/pm-queens-speech-statement-to-parliament-21-june-2017"
"Theresa May","PM words at Chequers press conference: 13 July 2018","13 July 2018","https://www.gov.uk/government/speeches/pm-words-at-chequers-press-conference-13-july-2018"
"Theresa May","PM statement at UNSC counter-proliferation event: 26 September","26 September 2018","https://www.gov.uk/government/speeches/pm-statement-at-unsc-counter-proliferation-event-26-september-2018"
"Theresa May","PM's speech at Diabetes Charities Reception: 24 June 2019","24 June 2019","https://www.gov.uk/government/speeches/pms-speech-at-diabetes-charities-reception-24-june-2019"
"Theresa May","PM speech about girls' education at UNGA: 25 September 2018","25 September 2018","https://www.gov.uk/government/speeches/pm-speech-about-girls-education-at-unga-25-september-2018"
"Theresa May","PM Commons statement on National Security and Russia: 26 March 2018","26 March 2018","https://www.gov.uk/government/speeches/pm-commons-statement-on-national-security-and-russia-26-march-2018"
"Theresa May","PM words at unveiling of Millicent Fawcett statue: 24 April 2018","24 April 2018","https://www.gov.uk/government/speeches/pm-words-at-unveiling-of-millicent-fawcett-statue-24-april-2018"
"Theresa May","PM remarks at the signing of the Edinburgh and South East Scotland City Deal: 7 August 2018","7 August 2018","https://www.gov.uk/government/speeches/pm-remarks-at-the-signing-of-the-edinburgh-and-south-east-scotland-city-deal-7-august-2018"
"Theresa May","PM's words from reception held at Downing Street to celebrate the winning England Cricket team","15 July 2019","https://www.gov.uk/government/speeches/pms-words-from-reception-held-at-downing-street-to-celebrate-the-winning-england-cricket-team"
"Theresa May","PM speech at the Africa ‘Call to Invest’ UNGA event","25 September 2018","https://www.gov.uk/government/speeches/pm-speech-at-the-africa-call-to-invest-unga-event"
"Theresa May","PM speech at the London Somalia Conference","11 May 2017","https://www.gov.uk/government/speeches/pm-speech-at-the-london-somalia-conference"
"Theresa May","PM speech at positive opportunities reception","15 July 2019","https://www.gov.uk/government/speeches/pm-speech-at-positive-opportunities-reception"
"Theresa May","PM press statement in South Africa: 28 August 2018","28 August 2018","https://www.gov.uk/government/speeches/pm-press-statement-in-south-africa-28-august-2018"
"Theresa May","Anti-slavery service: Prime Minister's speech","16 October 2016","https://www.gov.uk/government/speeches/anti-slavery-service-prime-ministers-speech"
"Theresa May","PM's speech at RAF100 Centenary celebration in Downing Street","23 May 2018","https://www.gov.uk/government/speeches/pms-speech-at-raf100-centenary-celebration-in-downing-street"
"Theresa May","PM speech on the NHS: 18 June 2018","18 June 2018","https://www.gov.uk/government/speeches/pm-speech-on-the-nhs-18-june-2018"
"Theresa May","PM speech at NHS 70 reception: 4 July 2018","4 July 2018","https://www.gov.uk/government/speeches/pm-speech-at-nhs-70-reception-4-july-2018"
"Theresa May","PM Commons statement on Westminster attack: 23 March 2017","23 March 2017","https://www.gov.uk/government/speeches/pm-commons-statement-on-westminster-attack-23-march-2017"
"Theresa May","PM statement following London terror attack: 4 June 2017","4 June 2017","https://www.gov.uk/government/speeches/pm-statement-following-london-terror-attack-4-june-2017"
"Theresa May","PM's words at opening of Commonwealth Heads of Government Meeting on 19 April 2018","19 April 2018","https://www.gov.uk/government/speeches/pms-words-at-opening-of-commonwealth-heads-of-government-meeting-on-19-april-2018"
"Theresa May","PM Statement – Inauguration of the British Normandy Memorial: 6 June 2019","6 June 2019","https://www.gov.uk/government/speeches/pm-statement-inauguration-of-the-british-normandy-memorial-6-june-2019"
"Theresa May","Press statement from the Prime Minister in Sharm el-Sheikh: 25 February 2019","25 February 2019","https://www.gov.uk/government/speeches/press-statement-from-the-prime-minister-in-sharm-el-sheikh-25-february-2019"
"Theresa May","PM statement: General election 2017","9 June 2017","https://www.gov.uk/government/speeches/pm-statement-general-election-2017"
"Theresa May","PM Commons statement on European Council: 26 March 2018","26 March 2018","https://www.gov.uk/government/speeches/pm-commons-statement-on-european-council-26-march-2018"
"Theresa May","PM Commons statement on Westminster attack: 23 March 2017","23 March 2017","https://www.gov.uk/government/speeches/pm-commons-statement-on-westminster-attack-23-march-2017"
"Theresa May","PM statement following terrorist attack in Manchester: 23 May 2017","23 May 2017","https://www.gov.uk/government/speeches/pm-statement-following-terrorist-attack-in-manchester-23-may-2017"
"Theresa May","PM opening words at the CHOGM Retreat on 20 April 2018","20 April 2018","https://www.gov.uk/government/speeches/pm-opening-words-at-the-chogm-retreat-on-20-april-2018"
"Theresa May","PM tech reception: ""We all have our part to play – let’s work together to achieve it.""","15 November 2017","https://www.gov.uk/government/speeches/pm-tech-reception-we-all-have-our-part-to-play-lets-work-together-to-achieve-it"
"Theresa May","PM statement: General election 2017","9 June 2017","https://www.gov.uk/government/speeches/pm-statement-general-election-2017"
"Theresa May","PM speech on standards in public life: 6 February 2018","6 February 2018","https://www.gov.uk/government/speeches/pm-speech-on-standards-in-public-life-6-february-2018"
"Theresa May","PM's statement on October European Council: 23 October 2017","23 October 2017","https://www.gov.uk/government/speeches/pms-statement-on-october-european-council-23-october-2017"
"Theresa May","PM Commons statement on European Council: 18 December 2017","18 December 2017","https://www.gov.uk/government/speeches/pm-commons-statement-on-european-council-18-december-2017"
"Theresa May","PM speech at London Fashion Week reception: 18 September 2018","18 September 2018","https://www.gov.uk/government/speeches/pm-speech-at-london-fashion-week-reception-18-september-2018"
"Theresa May","PM speech on standards in public life: 6 February 2018","6 February 2018","https://www.gov.uk/government/speeches/pm-speech-on-standards-in-public-life-6-february-2018"
"Theresa May","PM speaks at Commonwealth Press Conference: 20 April 2018","20 April 2018","https://www.gov.uk/government/speeches/pm-speaks-at-commonwealth-press-conference-20-april-2018"
"Theresa May","Grenfell Inquiry Chair: statement by the Prime Minister","29 June 2017","https://www.gov.uk/government/speeches/grenfell-inquiry-chair-statement-by-the-prime-minister"
"Theresa May","PM Commons statement on the European Council: 24 October 2016","24 October 2016","https://www.gov.uk/government/speeches/pm-commons-statement-on-the-european-council-24-oct-2016"
"Theresa May","PM's Chinese New Year speech","21 February 2018","https://www.gov.uk/government/speeches/pms-chinese-new-year-speech"
"Theresa May","Prime Minister's speech on the environment: 11 January 2018","11 January 2018","https://www.gov.uk/government/speeches/prime-ministers-speech-on-the-environment-11-january-2017"
"Theresa May","PM speaks at the Commonwealth Joint Forum Plenary: 17 April 2018","17 April 2018","https://www.gov.uk/government/speeches/pm-speaks-at-the-commonwealth-joint-forum-plenary-17-april-2018"
"Theresa May","PM: The right education for everyone","19 February 2018","https://www.gov.uk/government/speeches/pm-the-right-education-for-everyone"
"Theresa May","PM's speech in Cape Town: 28 August 2018","28 August 2018","https://www.gov.uk/government/speeches/pms-speech-in-cape-town-28-august-2018"
"Theresa May","PM speech to the Lord Mayor's Banquet 2017","13 November 2017","https://www.gov.uk/government/speeches/pm-speech-to-the-lord-mayors-banquet-2017"
"Theresa May","PM speech at NHS plan launch: 7 January 2019","7 January 2019","https://www.gov.uk/government/speeches/pm-speech-at-nhs-plan-launch-7-january-2019"
"Theresa May","St David's Day reception 2017: Prime Minister's speech","1 March 2017","https://www.gov.uk/government/speeches/st-davids-day-reception-2017-prime-ministers-speech"
"Theresa May","European Council June 2017: Prime Minister's press statement","23 June 2017","https://www.gov.uk/government/speeches/european-council-june-2017-prime-ministers-press-statement"
"Theresa May","PM meeting with President Erdogan: 28 January 2017","28 January 2017","https://www.gov.uk/government/speeches/pm-statement-following-talks-with-president-erdogan-28-january-2017"
"Theresa May","PM: The right education for everyone","19 February 2018","https://www.gov.uk/government/speeches/pm-the-right-education-for-everyone"
"Theresa May","PM speech at the Bloomberg Global Business Forum: 26 September 2018","26 September 2018","https://www.gov.uk/government/speeches/pm-speech-at-the-bloomberg-global-business-forum-26-september-2018"
"Theresa May","PM statement alongside PM Shinzo Abe of Japan: 10 January 2019","10 January 2019","https://www.gov.uk/government/speeches/pm-statement-alongside-pm-shinzo-abe-of-japan-10-january-2019"
