"Theresa May","""The UK has consistently welcomed the creation of a G5 Sahel joint force""","15 August 2017","https://www.gov.uk/government/speeches/the-uk-has-consistently-welcomed-the-creation-of-a-g5-sahel-joint-force"
"Theresa May","David Currie on markets and the role of the CMA in Wales","19 October 2016","https://www.gov.uk/government/speeches/david-currie-on-markets-and-the-role-of-the-cma-in-wales"
"Theresa May","Hexagon agreement: notification of a contingent liability","11 June 2018","https://www.gov.uk/government/speeches/hexagon-agreement-notification-of-a-contingent-liability"
"Theresa May","Denouncing the use of hunger as a tool of war","24 May 2018","https://www.gov.uk/government/speeches/denouncing-the-use-of-hunger-as-a-tool-of-war"
"Theresa May","Amanda Spielman at the 'Wonder Years' curriculum conference","26 January 2019","https://www.gov.uk/government/speeches/amanda-spielman-at-the-wonder-years-curriculum-conference"
"Theresa May","Visions for peacebuilding and sustaining peace","25 April 2018","https://www.gov.uk/government/speeches/visions-for-peace-building-and-sustaining-peace"
"Theresa May","Jeremy Wright's statement on the Cairncross Review","12 February 2019","https://www.gov.uk/government/speeches/jeremy-wrights-statement-on-the-cairncross-review"
"Theresa May","Amesbury nerve agent incident","5 July 2018","https://www.gov.uk/government/speeches/amesbury-nerve-agent-incident"
"Theresa May","Social care commentary: protecting disabled children","18 October 2017","https://www.gov.uk/government/speeches/social-care-commentary-october-2017"
"Theresa May","Lord Ahmad welcomes conclusions of the 36th Session of the UN Human Rights Council","29 September 2017","https://www.gov.uk/government/speeches/lord-ahmad-welcomes-conclusions-of-the-36th-session-of-the-un-human-rights-council"
"Theresa May","Insurance in the Digital World","19 October 2017","https://www.gov.uk/government/speeches/insurance-in-the-digital-world"
"Theresa May","High Commissioner's speech at the 2017 Queen's Baton Relay opening event, Lusaka","25 April 2017","https://www.gov.uk/government/speeches/high-commissioners-speech-at-the-2017-queens-baton-relay-opening-event-lusaka"
"Theresa May","Amanda Spielman at the Pre-school Learning Alliance annual conference","1 June 2018","https://www.gov.uk/government/speeches/amanda-spielman-at-the-pre-school-learning-alliance-annual-conference"
"Theresa May","Home Secretary speech on protecting young people's futures","15 April 2019","https://www.gov.uk/government/speeches/home-secretary-speech-on-protecting-young-peoples-futures"
"Theresa May","Insurance in the Digital World","19 October 2017","https://www.gov.uk/government/speeches/insurance-in-the-digital-world"
"Theresa May","Competition rules must continue to evolve","18 July 2019","https://www.gov.uk/government/speeches/competition-rules-must-continue-to-evolve-with-emergence-of-digital-platforms"
"Theresa May","High Commission in Malaysia commemorates 100 years of Armistice: speech by Vicki Treadell","11 November 2018","https://www.gov.uk/government/speeches/remembrance-sunday-address"
"Theresa May","Amanda Spielman at the 'Wonder Years' curriculum conference","26 January 2019","https://www.gov.uk/government/speeches/amanda-spielman-at-the-wonder-years-curriculum-conference"
"Theresa May","Supporting small business to start-up, scale-up and grow","11 October 2017","https://www.gov.uk/government/speeches/supporting-small-business-to-start-up-scale-up-and-grow"
"Theresa May","Jeremy Wright's statement on the Cairncross Review","12 February 2019","https://www.gov.uk/government/speeches/jeremy-wrights-statement-on-the-cairncross-review"
"Theresa May","Lord Ahmad welcomes conclusions of the 36th Session of the UN Human Rights Council","29 September 2017","https://www.gov.uk/government/speeches/lord-ahmad-welcomes-conclusions-of-the-36th-session-of-the-un-human-rights-council"
"Theresa May","Secretary of State's Oral Statement to Parliament on the political situation in Northern Ireland","3 July 2017","https://www.gov.uk/government/speeches/secretary-of-states-oral-statement-to-parliament-on-the-political-situation-in-northern-ireland-3-july-2017"
"Theresa May","Attorney General’s speech at the International Institute for Strategic Studies","11 January 2017","https://www.gov.uk/government/speeches/attorney-generals-speech-at-the-international-institute-for-strategic-studies"
"Theresa May","Matt Hancock's speech on technology at the Margaret Thatcher Conference on Security","27 June 2017","https://www.gov.uk/government/speeches/matt-hancocks-speech-on-technology-at-the-margaret-thatcher-conference-on-security"
"Theresa May","The future of competition enforcement in the UK","13 November 2018","https://www.gov.uk/government/speeches/the-future-of-competition-enforcement-in-the-uk"
"Theresa May","First Sea Lord outlines the Royal Navy’s requirements for the Type 31e frigate","7 September 2017","https://www.gov.uk/government/speeches/first-sea-lord-outlines-the-royal-navys-requirements-for-the-type-31e-frigate"
"Theresa May","Secretary of State's Oral Statement to Parliament on the political situation in Northern Ireland","3 July 2017","https://www.gov.uk/government/speeches/secretary-of-states-oral-statement-to-parliament-on-the-political-situation-in-northern-ireland-3-july-2017"
"Theresa May","Amanda Spielman at the Pre-school Learning Alliance annual conference","1 June 2018","https://www.gov.uk/government/speeches/amanda-spielman-at-the-pre-school-learning-alliance-annual-conference"
"Theresa May","Govia Thameslink update: 5 September 2016","5 September 2016","https://www.gov.uk/government/speeches/govia-thameslink-update-5-september-2016"
"Theresa May","Home Secretary speech on protecting young people's futures","15 April 2019","https://www.gov.uk/government/speeches/home-secretary-speech-on-protecting-young-peoples-futures"
"Theresa May","High Commission in Malaysia commemorates 100 years of Armistice: speech by Vicki Treadell","11 November 2018","https://www.gov.uk/government/speeches/remembrance-sunday-address"
"Theresa May","Delivering long term stability to the Sahel region","16 May 2019","https://www.gov.uk/government/speeches/delivering-long-term-stability-to-the-sahel-region"
"Theresa May","The long and winding road - the humble number plate","30 November 2017","https://www.gov.uk/government/speeches/the-long-and-winding-road-the-humble-number-plate"
"Theresa May","Amanda Spielman's speech at the Nursery World business summit","8 November 2017","https://www.gov.uk/government/speeches/amanda-spielmans-speech-at-the-nursery-world-business-summit"
"Theresa May","Cooperation and lasting peace in Colombia","10 October 2018","https://www.gov.uk/government/speeches/cooperation-and-lasting-peace-in-colombia"
"Theresa May","The long and winding road - the humble number plate","30 November 2017","https://www.gov.uk/government/speeches/the-long-and-winding-road-the-humble-number-plate"
"Theresa May","Reflections on an overnight shift at Chelsea and Westminster Hospital","24 August 2018","https://www.gov.uk/government/speeches/reflections-on-an-overnight-shift-at-chelsea-and-westminster-hospital"
"Theresa May","The long and winding road - the humble number plate","30 November 2017","https://www.gov.uk/government/speeches/the-long-and-winding-road-the-humble-number-plate"
"Theresa May","US imposition of steel and aluminium import tariffs","4 June 2018","https://www.gov.uk/government/speeches/us-imposition-of-steel-and-aluminium-import-tariffs"
"Theresa May","Chef Moha shows the way: Article by Ambassador Thomas Reilly","19 February 2018","https://www.gov.uk/government/speeches/chef-moha-shows-the-way"
"Theresa May","Michael Grenfell on antitrust in the digital age","15 November 2016","https://www.gov.uk/government/speeches/michael-grenfell-on-antitrust-in-the-digital-age"
"Theresa May","Reflections on an overnight shift at Chelsea and Westminster Hospital","24 August 2018","https://www.gov.uk/government/speeches/reflections-on-an-overnight-shift-at-chelsea-and-westminster-hospital"
"Theresa May","Queen's birthday celebration 2019 in Nairobi, Kenya: Nic Hailey's speech","6 June 2019","https://www.gov.uk/government/speeches/queens-birthday-celebration-2019-in-nairobi-kenya-nic-haileys-speech"
"Theresa May","UK priorities for peacebuilding and sustaining peace: statement to the UN General Assembly","24 April 2018","https://www.gov.uk/government/speeches/on-peacebuilding-and-sustaining-peace"
"Theresa May","Secretary of State's oral statement on Transparency of the Parole Board and Victim Support","19 January 2018","https://www.gov.uk/government/speeches/secretary-of-states-oral-statement-on-transparency-of-the-parole-board-and-victim-support"
"Theresa May","Change to personal injury discount rate","27 February 2017","https://www.gov.uk/government/speeches/justice-update"
"Theresa May","Eileen Milner speech to Association of Colleges (AoC) Governance Summit 2019","28 March 2019","https://www.gov.uk/government/speeches/eileen-milner-speech-to-association-of-colleges-aoc-governance-summit-2019"
"Theresa May","Strengthening our democracy: Annual Elections Conference keynote speech","19 January 2016","https://www.gov.uk/government/speeches/strengthening-our-democracy-annual-elections-conference-keynote-speech"
"Theresa May","Exchequer Secretary speech: Charity Tax Group conference","4 April 2019","https://www.gov.uk/government/speeches/exchequer-secretary-speech-charity-tax-group-conference"
"Theresa May","A message from the British Ambassador to Ireland on the Common Travel Area","1 February 2019","https://www.gov.uk/government/speeches/a-message-from-the-british-ambassador-to-ireland-on-the-common-travel-area--2"
"Theresa May","West takes a stand to halt reckless ambitions: article by Boris Johnson","27 March 2018","https://www.gov.uk/government/speeches/west-takes-a-stand-to-halt-reckless-ambitions-article-by-boris-johnson"
