"Theresa May","Heathrow Airport Limited: notification of a contingent liability","6 June 2018","https://www.gov.uk/government/speeches/heathrow-airport-limited-notification-of-a-contingent-liability"
"Theresa May","For a new future","3 August 2017","https://www.gov.uk/government/speeches/for-a-new-future"
"Theresa May","Heathrow Airport Limited: notification of a contingent liability","6 June 2018","https://www.gov.uk/government/speeches/heathrow-airport-limited-notification-of-a-contingent-liability"
"Theresa May","Abstention of resolutions on long-standing issues between Israel and the Palestinian people","1 June 2018","https://www.gov.uk/government/speeches/abstention-of-resolutions-on-long-standing-issues-between-israel-and-the-palestinian-people"
"Theresa May","Heathrow Airport Limited: notification of a contingent liability","6 June 2018","https://www.gov.uk/government/speeches/heathrow-airport-limited-notification-of-a-contingent-liability"
"Theresa May","Jeremy Wright's Oral Statement on the Telecoms Supply Chain Review","22 July 2019","https://www.gov.uk/government/speeches/jeremy-wrights-oral-statement-on-the-telecoms-supply-chain-review"
"Theresa May","Humanitarian workers in Syria deserve our efforts to protect them","24 June 2019","https://www.gov.uk/government/speeches/humanitarian-workers-in-syria-deserve-our-efforts-to-protect-them"
"Theresa May","David Currie on the role of competition in stimulating innovation","3 February 2017","https://www.gov.uk/government/speeches/david-currie-on-the-role-of-competition-in-stimulating-innovation"
"Theresa May","Our 18 employment records this year show why we need the Prime Minister’s Brexit deal","9 December 2018","https://www.gov.uk/government/speeches/our-18-employment-records-this-year-show-why-we-need-the-prime-ministers-brexit-deal"
"Theresa May","For a new future","3 August 2017","https://www.gov.uk/government/speeches/for-a-new-future"
"Theresa May","Liam Fox celebrates trading relationship between the UK and Spain","13 July 2017","https://www.gov.uk/government/speeches/liam-fox-celebrates-trading-relationship-between-the-uk-and-spain"
"Theresa May","Middle East Peace Process: Call to reduce the risk of violence","20 June 2019","https://www.gov.uk/government/speeches/middle-east-peace-processcall-to-reduce-the-risk-of-violence"
"Theresa May","Ministerial to Advance Religious Freedom: Lord (Tariq) Ahmad's speech","18 July 2019","https://www.gov.uk/government/speeches/lord-tariq-ahmad-address-to-the-ministerial-to-advance-religious-freedom"
"Theresa May","Social care commentary: hidden children - the challenges of safeguarding children who are not attending school","21 December 2017","https://www.gov.uk/government/speeches/social-care-commentary-hidden-children-the-challenges-of-safeguarding-children-who-are-not-attending-school"
"Theresa May","Advancing Peace and Stability in Somalia","13 September 2018","https://www.gov.uk/government/speeches/advancing-peace-and-stability-in-somalia"
"Theresa May","Social care commentary: hidden children - the challenges of safeguarding children who are not attending school","21 December 2017","https://www.gov.uk/government/speeches/social-care-commentary-hidden-children-the-challenges-of-safeguarding-children-who-are-not-attending-school"
"Theresa May","Social care commentary: hidden children - the challenges of safeguarding children who are not attending school","21 December 2017","https://www.gov.uk/government/speeches/social-care-commentary-hidden-children-the-challenges-of-safeguarding-children-who-are-not-attending-school"
"Theresa May","Ministerial to Advance Religious Freedom: Lord (Tariq) Ahmad's speech","18 July 2019","https://www.gov.uk/government/speeches/lord-tariq-ahmad-address-to-the-ministerial-to-advance-religious-freedom"
"Theresa May","Update: Media Mergers","4 June 2018","https://www.gov.uk/government/speeches/update-media-mergers"
"Theresa May","Middle East Peace Process: Call to reduce the risk of violence","20 June 2019","https://www.gov.uk/government/speeches/middle-east-peace-processcall-to-reduce-the-risk-of-violence"
"Theresa May","Helping people from ethnic minority backgrounds into work","31 October 2018","https://www.gov.uk/government/speeches/helping-people-from-ethnic-minority-backgrounds-into-work"
"Theresa May","Post-Brexit state aid in the UK","8 October 2018","https://www.gov.uk/government/speeches/post-brexit-state-aid-in-the-uk"
"Theresa May","Inclusive political dialogue in Central Africa","4 June 2019","https://www.gov.uk/government/speeches/inclusive-political-dialogue-in-central-africa"
"Theresa May","Moving from Peacekeeping to Development in Haiti","3 April 2018","https://www.gov.uk/government/speeches/moving-from-peacekeeping-to-development-in-haiti"
"Theresa May","Ministerial correction to closing speech on Thameslink upgrades across the south east","27 April 2018","https://www.gov.uk/government/speeches/ministerial-correction-to-closing-speech-on-thameslink-upgrades-across-the-south-east"
"Theresa May","Additional airline security measures on some routes travelling to the UK","21 March 2017","https://www.gov.uk/government/speeches/additional-airline-security-measures-on-some-routes-travelling-to-the-uk"
"Theresa May","Inclusive political dialogue in Central Africa","4 June 2019","https://www.gov.uk/government/speeches/inclusive-political-dialogue-in-central-africa"
"Theresa May","Martin Coleman GCR Live speech","2 February 2019","https://www.gov.uk/government/speeches/martin-coleman-gcr-live-speech"
"Theresa May","Ministerial correction to closing speech on Thameslink upgrades across the south east","27 April 2018","https://www.gov.uk/government/speeches/ministerial-correction-to-closing-speech-on-thameslink-upgrades-across-the-south-east"
"Theresa May","Amesbury nerve agent incident: statement from Chief Medical Officer","5 September 2018","https://www.gov.uk/government/speeches/amesbury-nerve-agent-incident-statement-from-chief-medical-officer"
"Theresa May","Amesbury nerve agent incident: statement from Chief Medical Officer","5 September 2018","https://www.gov.uk/government/speeches/amesbury-nerve-agent-incident-statement-from-chief-medical-officer"
"Theresa May","Social care commentary: preventing child sexual exploitation","26 January 2017","https://www.gov.uk/government/speeches/social-care-monthly-commentary-january-2017"
"Theresa May","Social care commentary: preventing child sexual exploitation","26 January 2017","https://www.gov.uk/government/speeches/social-care-monthly-commentary-january-2017"
"Theresa May","The Natural Laws of Brexit","17 January 2019","https://www.gov.uk/government/speeches/the-natural-laws-of-brexit"
"Theresa May","Social care commentary: supporting care leavers","14 December 2016","https://www.gov.uk/government/speeches/social-care-monthly-commentary-december-2016"
"Theresa May","Resolution on the British Indian Ocean Territory","22 May 2019","https://www.gov.uk/government/speeches/resolution-on-the-british-indian-ocean-territory"
"Theresa May","UK response to the Ebola outbreak in the Democratic Republic of the Congo","23 May 2018","https://www.gov.uk/government/speeches/uk-response-to-the-ebola-outbreak-in-the-democratic-republic-of-the-congo"
"Theresa May","UK champions rights of girls and women in India and around the world","11 October 2017","https://www.gov.uk/government/speeches/we-champion-the-rights-of-women-and-girls-around-the-world"
"Theresa May","Jeremy Wright's Oral Statement on Gambling","2 July 2019","https://www.gov.uk/government/speeches/jeremy-wrights-oral-statement-on-gambling"
"Theresa May","Secretary of State speech at International Education Strategy event","1 May 2019","https://www.gov.uk/government/speeches/secretary-of-state-speech-at-international-education-strategy-event"
"Theresa May","Sky/Fox Merger","29 June 2017","https://www.gov.uk/government/speeches/skyfox-merger"
"Theresa May","Strengthening collaboration and operational co-operation with Western Balkans Customs Administrations","29 January 2018","https://www.gov.uk/government/speeches/strengthening-collaboration-and-operational-co-operation-with-western-balkans-customs-administrations"
"Theresa May","Prime Minister's speech to UK Japan Business Forum","31 August 2017","https://www.gov.uk/government/speeches/transcript-of-speech-given-by-the-prime-minister"
"Theresa May","Ending drug trafficking in West Africa","19 December 2018","https://www.gov.uk/government/speeches/ending-drug-trafficking-in-west-africa--3"
"Theresa May","Addressing the challenges that vulnerable consumers face","25 September 2018","https://www.gov.uk/government/speeches/addressing-the-challenges-that-vulnerable-consumers-face"
"Theresa May","CILEx Commencement Speech 2017","7 October 2017","https://www.gov.uk/government/speeches/cilex-commencement-speech-2017"
"Theresa May","Addressing the challenges that vulnerable consumers face","25 September 2018","https://www.gov.uk/government/speeches/addressing-the-challenges-that-vulnerable-consumers-face"
"Theresa May","Sky / Fox Merger","24 April 2017","https://www.gov.uk/government/speeches/sky-fox-merger"
"Theresa May","Law for net zero emissions begins passage through Parliament","24 June 2019","https://www.gov.uk/government/speeches/law-for-net-zero-emissions-begins-passage-through-parliament"
"Theresa May","An Internet for Children and Young People","17 November 2016","https://www.gov.uk/government/speeches/an-internet-for-children-and-young-people"
"Theresa May","Sam Gyimah: Green GB Week Clean Energy Innovation Summit","16 October 2018","https://www.gov.uk/government/speeches/sam-gyimah-green-gb-week-clean-energy-innovation-summit"
"Theresa May","Ending drug trafficking in West Africa","19 December 2018","https://www.gov.uk/government/speeches/ending-drug-trafficking-in-west-africa--3"
"Theresa May","Sky / Fox Merger","24 April 2017","https://www.gov.uk/government/speeches/sky-fox-merger"
"Theresa May","Queen’s Birthday Party celebrations in Dar es Salaam","5 June 2018","https://www.gov.uk/government/speeches/queens-birthday-party-celebrations-in-dar-es-salaam"
"Theresa May","Addressing the challenges that vulnerable consumers face","25 September 2018","https://www.gov.uk/government/speeches/addressing-the-challenges-that-vulnerable-consumers-face"
"Theresa May","A peaceful, secure, prosperous Libya through credible elections","21 May 2018","https://www.gov.uk/government/speeches/a-peaceful-secure-prosperous-libya-through-credible-elections"
"Theresa May","Focusing on children's safety and a need for enhanced political process in Yemen","15 April 2019","https://www.gov.uk/government/speeches/focusing-on-childrens-safety-and-a-need-for-enhanced-political-process-in-yemen"
"Theresa May","CILEx Commencement Speech 2017","7 October 2017","https://www.gov.uk/government/speeches/cilex-commencement-speech-2017"
"Theresa May","Stability in the Great Lakes Region","26 March 2019","https://www.gov.uk/government/speeches/stability-in-the-great-lakes-region"
"Theresa May","CILEx Commencement Speech 2017","7 October 2017","https://www.gov.uk/government/speeches/cilex-commencement-speech-2017"
"Theresa May","Stability in the Great Lakes Region","26 March 2019","https://www.gov.uk/government/speeches/stability-in-the-great-lakes-region"
"Theresa May","Steady investments in a changing climate","21 March 2019","https://www.gov.uk/government/speeches/steady-investments-in-a-changing-climate"
"Theresa May","Social care commentary: what do local authorities need to do to improve from inadequate","21 March 2018","https://www.gov.uk/government/speeches/social-care-commentary-what-do-local-authorities-need-to-do-to-improve-from-inadequate"
"Theresa May","Local housing need","14 September 2017","https://www.gov.uk/government/speeches/local-housing-need"
